timestamp,src,dest
2017-11-29 08:41:31,206.12.24.250,206.12.127.40
2017-11-29 07:55:01,147.213.204.111,206.12.24.250
2017-11-29 07:55:01,147.213.204.111,206.12.24.250
2017-11-29 09:30:39,147.213.204.111,206.12.24.250
2017-11-30 13:53:14,192.108.47.6,131.169.98.29
2017-11-30 14:30:47,192.108.47.6,131.169.98.29
2017-11-30 14:22:18,202.140.191.90,129.93.239.163
2017-11-30 13:45:20,202.140.191.90,129.93.239.163
2017-11-30 14:22:18,202.140.191.90,129.93.239.163
2017-11-30 13:45:20,202.140.191.90,129.93.239.163
2017-12-01 10:18:42,147.213.204.111,131.169.98.29
2017-12-01 07:07:00,147.213.204.111,131.169.98.29
2017-12-01 15:42:51,147.213.204.111,131.169.98.29
2017-12-01 10:18:42,147.213.204.111,131.169.98.29
2017-12-01 15:29:36,147.213.204.111,131.169.98.29
2017-12-01 10:18:42,147.213.204.111,131.169.98.29
2017-11-30 23:22:45,202.140.191.90,129.93.239.163
2017-12-01 02:09:55,202.140.191.90,129.93.239.163
2017-11-30 19:56:41,202.140.191.90,129.93.239.163
2017-11-30 18:46:25,202.140.191.90,129.93.239.163
2017-11-30 16:50:05,202.140.191.90,129.93.239.163
2017-12-01 03:14:01,202.140.191.90,129.93.239.163
2017-12-01 05:18:56,202.140.191.90,129.93.239.163
2017-11-30 17:38:02,202.140.191.90,129.93.239.163
2017-11-30 21:18:37,202.140.191.90,129.93.239.163
2017-11-30 17:14:44,202.140.191.90,129.93.239.163
2017-11-30 18:55:28,202.140.191.90,129.93.239.163
2017-11-30 22:50:16,202.140.191.90,129.93.239.163
2017-12-01 05:04:04,202.140.191.90,129.93.239.163
2017-11-30 22:27:54,202.140.191.90,129.93.239.163
2017-11-30 22:05:41,202.140.191.90,129.93.239.163
2017-12-01 01:57:02,202.140.191.90,129.93.239.163
2017-11-30 23:22:45,202.140.191.90,129.93.239.163
2017-12-01 02:09:55,202.140.191.90,129.93.239.163
2017-11-30 19:56:41,202.140.191.90,129.93.239.163
2017-11-30 22:54:32,202.140.191.90,129.93.239.163
2017-12-01 01:00:50,202.140.191.90,129.93.239.163
2017-11-30 21:18:37,202.140.191.90,129.93.239.163
2017-11-30 21:43:44,202.140.191.90,129.93.239.163
2017-11-30 22:50:16,202.140.191.90,129.93.239.163
2017-11-30 21:38:12,202.140.191.90,129.93.239.163
2017-11-30 23:49:52,202.140.191.90,129.93.239.163
2017-12-01 04:39:02,202.140.191.90,129.93.239.163
2017-12-01 02:09:55,202.140.191.90,129.93.239.163
2017-12-01 00:49:18,202.140.191.90,129.93.239.163
2017-11-30 20:26:14,202.140.191.90,129.93.239.163
