src_host,dest_host,timestamp,delay_mean,delay_median,delay_sd
iut2-net1.iu.edu,lat-utoronto.scinet.utoronto.ca,1570238133000,10.523600000000002,10.49,0.7634861098932973
lcg-pslat.uw.computecanada.ca,lcg-lat.sfu.computecanada.ca,1570238120000,24.3346,24.34,0.02517617921766537
epgperf.ph.bham.ac.uk,hepsonar2.ph.liv.ac.uk,1570238141000,3.500683333333333,3.5,0.07084748682126193
perfmon.dur.scotgrid.ac.uk,dice-io-37-00.acrc.bris.ac.uk,1570238160000,6.852916666666666,6.85,0.03152765540847523
perfmon.dur.scotgrid.ac.uk,dice-io-37-00.acrc.bris.ac.uk,1570238100000,6.854333333333332,6.85,0.05212058667700853
t2-pfsn2.jinr.ru,repos.indiacms.res.in,1570238120000,110.7527666666667,110.59,0.3971087326609119
btw-lat.t1.grid.kiae.ru,perfsonar-ow.cnaf.infn.it,1570238025000,33.87520000000001,50.81,0.03765580964472784
lhcperfmon.bnl.gov,ps-latency.hepnetcanada.ca,1570238092000,44.56725,44.58,0.1515836540220174
lhcperfmon.bnl.gov,ps-latency.hepnetcanada.ca,1570238077000,44.63665000000001,44.63,0.04246109003154134
psl01.pic.es,ps1.kipt.kharkov.ua,1570238117000,36.53333889816361,36.52,0.08812195794413469
lcgps01.gridpp.rl.ac.uk,perfsonar2.nipne.ro,1570238161000,27.245516666666663,27.24,0.06632797088877529
perfsonar02-iep-grid.saske.sk,perfsonar1.icepp.jp,1570238129000,89.1242404006678,89.04,0.38931605921210116
perfsonar02-iep-grid.saske.sk,perfsonar1.icepp.jp,1570238069000,89.1138,89.01,0.422566633798742
ps-latency.atlas.unimelb.edu.au,perfsonar2.cc.kek.jp,1570238048000,140.29949999999994,140.29,0.0631222359130813
perfsonar-ow.cnaf.infn.it,psl01.pic.es,1570238099000,20.165816666666668,20.17,0.051436041730375144
dice-io-37-00.acrc.bris.ac.uk,perfmon.dur.scotgrid.ac.uk,1570238145000,6.222783333333333,6.21,0.06368479453963519
marperf02.in2p3.fr,ps-01.lnl.infn.it,1570237984000,0.004266666666666666,-0.01,0.08583974733316857
ps-latency.hepnetcanada.ca,atrogr007.nipne.ro,1570238131000,87.14266666666668,87.31,0.3688539307398284
iut2-net1.iu.edu,psl.hpc.utfsm.cl,1570238128000,72.40046666666669,72.32,0.30554669401291573
hepsonar2.ph.liv.ac.uk,perfsonar-ps.ndgf.org,1570238105000,13.965116666666663,13.94,0.21203691437001143
hepsonar2.ph.liv.ac.uk,perfsonar-ps.ndgf.org,1570238165000,13.962516666666668,13.95,0.1790935501971588
perfsonar2.ultralight.org,perfsonar-cms1.itns.purdue.edu,1570238101000,29.82895,29.81,0.06481561668816138
perfsonar2.roma1.infn.it,marperf02.in2p3.fr,1570238159000,94.04628333333345,144.86,18.019698712419945
iut2-net1.iu.edu,lapp-ps02.in2p3.fr,1570238184000,136.6853833333334,206.03,10.67769233119789
t1-pfsn2.jinr-t1.ru,lcgps01.gridpp.rl.ac.uk,1570238148000,35.39176666666667,35.37,0.2279324729436818
lhcperfmon.bnl.gov,psum01.aglt2.org,1570238188000,22.300366666666672,22.22,0.3306017728661209
llrpsonar1.in2p3.fr,psonar.cis.gov.pl,1570238082000,-2.7597,-2.73,0.12935574977557046
atrogr007.nipne.ro,psl01-gva.cern.ch,1570238183000,18.23173333333333,18.23,0.034866347990895386
pship01.csc.fi,perfsonar-ow.cnaf.infn.it,1570238149000,23.852883333333327,23.85,0.05444434212008532
lhc-latency.twgrid.org,ps1.ochep.ou.edu,1570238020000,-628.2422666666666,-628.25,0.04225157459260262
lhc-latency.twgrid.org,ps1.ochep.ou.edu,1570237960000,-616.5723499999999,-616.58,0.040082966041291836
