timestamp,src,dest
2019-09-28 17:01:36,btw-bw.grid.kiae.ru,t2-pfsn1.jinr.ru
2019-09-28 17:00:21,nanperfs02.in2p3.fr,marperf01.in2p3.fr
2019-09-28 17:02:09,btw-bw.grid.kiae.ru,ps02-b.farm.particle.cz
2019-09-28 17:01:32,perfsonar-ps2.ndgf.org,perfsonar1.nipne.ro
2019-09-28 17:02:24,t2ps-bandwidth.physics.ox.ac.uk,perfsonar2.icepp.jp
2019-09-28 17:01:30,perfbw.ciemat.es,perfsonar-bw.sprace.org.br
2019-09-28 17:00:57,gridpp-ps-band.ecdf.ed.ac.uk,ccperfsonar1.in2p3.fr
2019-09-28 17:02:24,t2ps-bandwidth.physics.ox.ac.uk,grid-perfsonar.hpc.susx.ac.uk
2019-09-28 17:01:29,gridpp-ps-band.ecdf.ed.ac.uk,lcg-sonar01.hep.ucl.ac.uk
2019-09-28 17:01:28,t2ps-bandwidth.physics.ox.ac.uk,psfrascati01.lnf.infn.it
2019-09-28 17:01:43,psfrascati01.lnf.infn.it,perfsonar.na.infn.it
2019-09-28 17:01:12,ps2.kipt.kharkov.ua,lcgps02.gridpp.rl.ac.uk
2019-09-28 17:02:08,psfrascati01.lnf.infn.it,sampaps02.if.usp.br
2019-09-28 17:00:53,sonar1.itim-cj.ro,ps001.gla.scotgrid.ac.uk
2019-09-28 17:00:54,sonar1.itim-cj.ro,btw-bw.t1.grid.kiae.ru
2019-09-28 17:01:19,psfrascati01.lnf.infn.it,ccperfsonar1.in2p3.fr
2019-09-28 17:00:44,perfsonar-bandwidth.grid.pub.ro,perfsonar1.roma1.infn.it
2019-09-28 17:02:30,psb01.pic.es,ccperfsonar1.in2p3.fr
2019-09-28 17:02:36,mwt2-ps03.campuscluster.illinois.edu,psonar3.fnal.gov
2019-09-28 17:01:19,lcg-bw.sfu.computecanada.ca,psb.hpc.utfsm.cl
2019-09-28 17:00:42,lcg-bw.sfu.computecanada.ca,uct2-net2.mwt2.org
2019-09-28 17:02:11,iut2-net4.iu.edu,mwt2-ps02.campuscluster.illinois.edu
2019-09-28 17:01:41,lpnhe-psb.in2p3.fr,lapp-ps01.in2p3.fr
2019-09-28 17:01:56,psmsu02.aglt2.org,perfsonar-bandwidth.grid.pub.ro
2019-09-28 17:01:58,lpsc-perfsonar.in2p3.fr,t2ps-bandwidth.physics.ox.ac.uk
2019-09-28 17:02:20,psific02.ific.uv.es,perfsonar1.nipne.ro
2019-09-28 17:02:11,psonar4.fnal.gov,mwt2-ps03.campuscluster.illinois.edu
2019-09-28 17:02:46,psific02.ific.uv.es,atlas-npt2.bu.edu
2019-09-28 17:00:54,hcc-ps02.unl.edu,perfsonar02.cmsaf.mit.edu
2019-09-28 17:02:10,81.180.86.62,ccperfsonar1.in2p3.fr
2019-09-28 17:02:31,2001:b30:4202:100::3,perfsonar-grid.uaic.ro
